ข้อมูลตาราง อัตราการว่างงานจำแนกตามการศึกษา,,,,,,,
ข้อมูล ณ วันที่ 10/16/2019,,,,,,,
,,,,,,,
ความถี่,งวดข้อมูล,อุดมศึกษาทั้งหมด (ตัวเลข),,ข้อมูลแต่ละปี,อุดมศึกษาทั้งหมด (ตัวเลข),,
MTH,2554/01,0.22,,2554,2.66,,
MTH,2554/02,0.26,,2555,2.83,,
MTH,2554/03,0.26,,2556,3.35,,
MTH,2554/04,0.21,,2557,3.52,,
MTH,2554/05,0.20,,2558,4.06,,
MTH,2554/06,0.13,,2559,4.56,,
MTH,2554/07,0.25,,2560,5.48,,
MTH,2554/08,0.28,,2561,4.99,,
MTH,2554/09,0.34,,,,,
MTH,2554/10,0.14,,,,,
MTH,2554/11,0.24,,,,,
MTH,2554/12,0.13,,,,,
MTH,2555/01,0.25,,,,,
MTH,2555/02,0.23,,,,,
MTH,2555/03,0.26,,,,,
MTH,2555/04,0.37,,,,,
MTH,2555/05,0.39,,,,,
MTH,2555/06,0.26,,,,,
MTH,2555/07,0.22,,,,,
MTH,2555/08,0.23,,,,,
MTH,2555/09,0.15,,,,,
MTH,2555/10,0.15,,,,,
MTH,2555/11,0.15,,,,,
MTH,2555/12,0.17,,,,,
MTH,2556/01,0.20,,,,,
MTH,2556/02,0.29,,,,,
MTH,2556/03,0.23,,,,,
MTH,2556/04,0.30,,,,,
MTH,2556/05,0.31,,,,,
MTH,2556/06,0.31,,,,,
MTH,2556/07,0.38,,,,,
MTH,2556/08,0.36,,,,,
MTH,2556/09,0.27,,,,,
MTH,2556/10,0.19,,,,,
MTH,2556/11,0.26,,,,,
MTH,2556/12,0.25,,,,,
MTH,2557/01,0.29,,,,,
MTH,2557/02,0.27,,,,,
MTH,2557/03,0.30,,,,,
MTH,2557/04,0.39,,,,,
MTH,2557/05,0.38,,,,,
MTH,2557/06,0.40,,,,,
MTH,2557/07,0.35,,,,,
MTH,2557/08,0.29,,,,,
MTH,2557/09,0.26,,,,,
MTH,2557/10,0.24,,,,,
MTH,2557/11,0.18,,,,,
MTH,2557/12,0.17,,,,,
MTH,2558/01,0.38,,,,,
MTH,2558/02,0.28,,,,,
MTH,2558/03,0.32,,,,,
MTH,2558/04,0.36,,,,,
MTH,2558/05,0.43,,,,,
MTH,2558/06,0.32,,,,,
MTH,2558/07,0.39,,,,,
MTH,2558/08,0.40,,,,,
MTH,2558/09,0.31,,,,,
MTH,2558/10,0.37,,,,,
MTH,2558/11,0.31,,,,,
MTH,2558/12,0.19,,,,,
MTH,2559/01,0.27,,,,,
MTH,2559/02,0.39,,,,,
MTH,2559/03,0.29,,,,,
MTH,2559/04,0.44,,,,,
MTH,2559/05,0.39,,,,,
MTH,2559/06,0.46,,,,,
MTH,2559/07,0.50,,,,,
MTH,2559/08,0.43,,,,,
MTH,2559/09,0.36,,,,,
MTH,2559/10,0.50,,,,,
MTH,2559/11,0.27,,,,,
MTH,2559/12,0.26,,,,,
MTH,2560/01,0.42,,,,,
MTH,2560/02,0.39,,,,,
MTH,2560/03,0.44,,,,,
MTH,2560/04,0.51,,,,,
MTH,2560/05,0.55,,,,,
MTH,2560/06,0.33,,,,,
MTH,2560/07,0.66,,,,,
MTH,2560/08,0.42,,,,,
MTH,2560/09,0.46,,,,,
MTH,2560/10,0.53,,,,,
MTH,2560/11,0.45,,,,,
MTH,2560/12,0.32,,,,,
MTH,2561/01,0.40,,,,,
MTH,2561/02,0.46,,,,,
MTH,2561/03,0.41,,,,,
MTH,2561/04,0.43,,,,,
MTH,2561/05,0.44,,,,,
MTH,2561/06,0.44,,,,,
MTH,2561/07,0.43,,,,,
MTH,2561/08,0.44,,,,,
MTH,2561/09,0.38,,,,,
MTH,2561/10,0.36,,,,,
MTH,2561/11,0.37,,,,,
MTH,2561/12,0.43,,,,,
MTH,2562/01,0.35,,,,,
MTH,2562/02,0.34,,,,,
MTH,2562/03,0.34,,,,,
MTH,2562/04,0.33,,,,,
MTH,2562/05,0.44,,,,,
MTH,2562/06,0.50,,,,,
MTH,2562/07,0.49,,,,,
MTH,2562/08,0.36,,,,,
,,,,,,,
